what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768617242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768637427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411768637467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768699155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768699446
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1411768724798
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411768741299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411768748059
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411768753001
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411768755141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768775105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768788247
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411768788284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411768806615
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411768807760
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411768809614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768817306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768826408
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411768826445
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1411768861744
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411768876402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411768883673
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411768884699
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411768886544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768888340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768903882
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411768903918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411768920686
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411768926403
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1411768932105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411768933670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411769085068
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411769086487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411769088314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411769203192
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411769205730
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411769212781
